"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
289,"1200101 FL EBT ALACHUA CO DFS",3736.0,31890.0,3230.0,16736.0,"Florida"
290,"1200301 FL EBT BAKER CO SERVICE CENTE",365.0,4310.0,317.0,1933.0,"Florida"
291,"1200501 FL EBT BAY CO DFS",2064.0,23525.0,1764.0,11778.0,"Florida"
292,"1200701 FL EBT BRADFORD CO DFS",516.0,4437.0,452.0,2152.0,"Florida"
293,"1200901 FL EBT BREVARD CO DFS",6587.0,63606.0,5610.0,34277.0,"Florida"
294,"1201101 FL EBT BROWARD CO SES",27439.0,266936.0,23434.0,144049.0,"Florida"
295,"1201301 FL EBT CALHOUN CO DFS",234.0,2212.0,225.0,1083.0,"Florida"
296,"1201501 FL EBT CHARLOTTE CO DFS",1568.0,14627.0,1357.0,8158.0,"Florida"
297,"1201701 FL EBT CITRUS CO DFS",2078.0,19746.0,1863.0,10445.0,"Florida"
298,"1201901 FL EBT CLAY CO DFS",1628.0,21070.0,1331.0,9747.0,"Florida"
299,"1202101 FL EBT COLLIER CO DFS",1973.0,20394.0,1734.0,10747.0,"Florida"
300,"1202301 FL EBT COLUMBIA CO DFS",1575.0,12976.0,1334.0,6407.0,"Florida"
301,"1202501 FL EBT DADE CO DFS",118553.0,533732.0,103104.0,300235.0,"Florida"
302,"1202701 FL EBT DESOTO CO DFS",485.0,5575.0,437.0,2610.0,"Florida"
303,"1202901 FL EBT DIXIE",446.0,3370.0,386.0,1661.0,"Florida"
304,"1203101 FL EBT DUVAL CO DFS",15970.0,158981.0,13373.0,78860.0,"Florida"
305,"1203301 FL EBT ESCAMBIA CO DFS",5691.0,48827.0,4746.0,24366.0,"Florida"
306,"1203501 FL EBT FLAGLER CO DFS",973.0,11562.0,832.0,5868.0,"Florida"
307,"1203701 FL EBT FRANKLIN CO DFS",173.0,1493.0,154.0,737.0,"Florida"
308,"1203901 FL EBT GADSEN CO DFS",1396.0,9346.0,1232.0,4922.0,"Florida"
309,"1204101 FL EBT GILCHRIST",300.0,2803.0,249.0,1291.0,"Florida"
310,"1204501 FL EBT GULF CO DFS",174.0,1793.0,174.0,968.0,"Florida"
311,"1204701 FL EBT HAMILTON CO DFS",294.0,2565.0,258.0,1168.0,"Florida"
312,"1204901 FL EBT HARDEE CO DFS",326.0,5337.0,284.0,2346.0,"Florida"
313,"1205101 FL EBT HENDRY CO DFS",969.0,10395.0,806.0,4886.0,"Florida"
314,"1205301 FL EBT HERNNANDO COUNTY ES",2901.0,27982.0,2468.0,14099.0,"Florida"
315,"1205501 FL EBT HIGHLANDS CO DFS",1772.0,17031.0,1506.0,8752.0,"Florida"
316,"1205701 FL EBT HILLSBOROUGH CO ES",24872.0,220260.0,21368.0,111021.0,"Florida"
317,"1205901 FL EBT HOLMES CO SES",370.0,4034.0,344.0,1826.0,"Florida"
318,"1206101 FL EBT INDIAN RIVER CO DFS",1466.0,15946.0,1293.0,8709.0,"Florida"
319,"1206301 FL EBT JACKSON CO DFS",931.0,7809.0,825.0,3837.0,"Florida"
320,"1206501 FL EBT JEFFERSON CO DFS",264.0,1678.0,242.0,910.0,"Florida"
321,"1206701 FL EBT LAFAYETTE",85.0,942.0,75.0,406.0,"Florida"
322,"1206901 FL EBT LAKE CO FS UNIT",4026.0,43980.0,3344.0,22412.0,"Florida"
323,"1207101 FL EBT LEE CO DFS",8080.0,90248.0,6844.0,44906.0,"Florida"
324,"1207301 FL EBT LEON CO DFS",3575.0,36964.0,3023.0,19703.0,"Florida"
325,"1207501 FL EBT LEVY CO DFS",864.0,7045.0,742.0,3535.0,"Florida"
326,"1207701 FL EBT LIBERTY CO DFS",125.0,1152.0,113.0,558.0,"Florida"
327,"1207901 FL EBT MADISON CO DFS",430.0,2761.0,369.0,1368.0,"Florida"
328,"1208101 FL EBT MANATEE CO DFS",3492.0,38413.0,2894.0,19598.0,"Florida"
329,"1208301 FL EBT MARION CO FS OFFICE",6167.0,56892.0,5049.0,28454.0,"Florida"
330,"1208501 FL EBT MARTIN CO SES",847.0,11844.0,753.0,6383.0,"Florida"
331,"1208701 FL EBT MONROE CO DFS",699.0,6579.0,691.0,3899.0,"Florida"
332,"1208901 FL EBT NASSAU CO FS OFFICE",613.0,7223.0,531.0,3573.0,"Florida"
333,"1209101 FL EBT OKALOOSA CO FS UNIT 79",1501.0,17472.0,1312.0,8428.0,"Florida"
334,"1209301 FL EBT OKEECHOBEE CO SES",711.0,8232.0,585.0,3989.0,"Florida"
335,"1209501 FL EBT ORANGE CO DFS",19312.0,208788.0,16002.0,109257.0,"Florida"
336,"1209701 FL EBT OSCEOLA CO FOOD STAMPS",6574.0,71761.0,5377.0,36461.0,"Florida"
337,"1209901 FL EBT PALM BEACH CO DFS",13440.0,169843.0,11655.0,88778.0,"Florida"
338,"1210101 FL EBT PASCO CO DFS",7428.0,67247.0,6147.0,35184.0,"Florida"
339,"1210301 FL EBT PINELLAS CO DFS",12656.0,100478.0,10943.0,58578.0,"Florida"
340,"1210501 FL EBT POLK CO SES - STE 101",13200.0,134879.0,10732.0,66555.0,"Florida"
341,"1210701 FL EBT PUTNAM CO DFS",1701.0,16436.0,1502.0,8108.0,"Florida"
342,"1210901 FL EBT ST JOHNS CO DFS",1310.0,12734.0,1122.0,6604.0,"Florida"
343,"1211101 FL EBT ST LUCIE CO DFS",4160.0,46582.0,3596.0,23560.0,"Florida"
344,"1211301 FL EBT SANTA ROSA CO SES",1410.0,15247.0,1172.0,7132.0,"Florida"
345,"1211501 FL EBT SARASOTA CO DFS",2775.0,27911.0,2406.0,15505.0,"Florida"
346,"1211701 FL EBT SEMINOLE CO DFS",3945.0,42688.0,3198.0,22485.0,"Florida"
347,"1211901 FL EBT SUMTER CO HRS FS U 89",993.0,8325.0,851.0,4271.0,"Florida"
348,"1212101 FL EBT SUWANNEE CO DFS",785.0,7935.0,682.0,3773.0,"Florida"
349,"1212301 FL EBT TAYLOR CO DFS",472.0,4776.0,446.0,2371.0,"Florida"
350,"1212501 FL EBT UNION CO DFS",218.0,2197.0,182.0,960.0,"Florida"
351,"1212701 FL EBT VOLUSIA CO DFS",7472.0,75057.0,6335.0,40240.0,"Florida"
352,"1212901 FL EBT WAKULLA CO DFS",308.0,3302.0,270.0,1621.0,"Florida"
353,"1213101 FL EBT WALTON CO DFS",471.0,6565.0,436.0,3082.0,"Florida"
354,"1213301 FL EBT WASHINGTON CO DFS",344.0,3374.0,262.0,1615.0,"Florida"
